node_id,lat,lon,price_dp
12TH_S_LNODENMZ,37.63715677998629,-120.99316020050249,24.02931
12TH_S_LNODEXWQ,37.63715677998629,-120.99327439949751,24.02931
8TH_ST_LNODEBXG,37.64197726998626,-121.00603849646912,24.02686
8TH_ST_LNODELZF,37.64197726998626,-121.00615270353089,24.02686
AEC300_1_N001,37.74,-121.48,23.14912
AGNEW_1_N003,37.51,-121.84,23.41329
AIRPROD_1_N001,36.65,-119.54,23.55877
AIR_SUB_LNODENAA,33.96205409081493,-118.376,23.92363
AIR_SUB_LNODENAB,33.961972954579615,-118.37594352117388,23.92117
AIR_SUB_LNODEONC,33.961972954579615,-118.37605647882611,23.92363
ALAMITOS_2_N001,33.771584,-118.100596,24.45437
ALAMITOS_2_N040,33.77,-118.1,24.45437
ALAMT1G_7_N002,33.77149401717401,-118.1004877514908,24.45437
ALAMT2G_7_N002,33.771415173499584,-118.10067098425147,24.45437
ALAMT3G_7_N002,33.77144633917227,-118.10077253262283,24.45437
ALAMT4G_7_N002,33.771511965310076,-118.10084659342048,24.45437
ALAMT5G_7_N002,33.771597006833865,-118.1008819712055,24.45437
ALAMT6G_7_N002,33.77176916262267,-118.10083231072662,24.45437
ALHAMBRA_1_N001,37.99408499998608,-122.13031167024367,23.13803
ALHAMBRA_1_N002,37.99408499998608,-122.13042632975633,23.13803
ALLEGHNY_6_N001,39.464893,-120.844946,23.20389
ALMADEN_6_N001,37.26027,-121.890082,23.47586
ALMOND_LNODEAUX,37.574202045609525,-120.98511610244,23.86464
ALPAUGH_7_N002,35.963463732836644,-119.456796,22.67528
ALPINE_6_N001,32.82778299998866,-116.78987271391081,46.87692
ALPINE_6_N005,32.82778299998866,-116.78997928608918,46.87692
ALTO_6_N001,37.89825299998615,-122.52430271885964,23.2928
ALTO_6_N101,37.89825299998615,-122.52441728114036,23.2928
ALTTA_BP_LNODEPRT,41.51205899998436,-120.5236838478691,23.13961
ALTTA_BP_LNODETON,41.51205899998436,-120.5238041521309,23.13961
AMERIGAS_1_N001,38.43,-121.79,22.2588
AMESBS_1_N004,37.41751022008469,-122.066192,23.18466
AMESBS_1_N101,37.41742888994297,-122.06613287861066,23.18466
AMESDST_1_N001,37.41742888994297,-122.06625112138934,23.18466
AMFORST_6_N001,38.369191999986,-120.79657754861613,21.71111
ANDERSON_6_N001,40.449838,-122.305068,24.16646
ANGIOLA_6_N001,35.992007,-119.57137,23.69401
ANITA_6_N001,39.811047,-121.919761,23.96417
ANNAPOLS_6_N001,38.680315,-123.311782,24.55841
ANTELOPE_6_N001,35.658117,-119.996015,22.45968
ANTLER_6_N001,40.893581,-122.379244,23.57575
APPLEHL_1_N001,38.73992576174639,-120.67700091995808,21.54998
APPLEHL_1_N002,38.73974623814083,-120.67700092024737,21.54998
APPMAT_1_N001,37.359999999986435,-121.97994317305394,23.24496
APPMAT_1_N010,37.359999999986435,-121.98005682694607,23.24496
ARBUCKLE_6_N001,39.017625,-122.061575,23.38145
ARCATA_6_N001,40.867132,-124.088286,26.46272
ARVINED_1_N001,35.15044599998752,-118.87870286987292,22.68511
ARVIN_6_N001,35.15044599998752,-118.87881313012709,22.70231
ASHLAN_2_N001,36.79263892472445,-119.82749,23.4333
ASHLAN_2_N007,36.7925580376235,-119.82743168375806,23.4333
ASHLAN_2_N008,36.7925580376235,-119.82754831624194,23.4333
ASH_6_N001,33.1365697302963,-117.070292,42.92267
ASH_6_N005,33.13648913483958,-117.0702364310647,42.92267
ASH_6_N101,33.13648913483958,-117.07034756893529,42.92267
ASPEN_LNODESPEN,37.69337956,-122.069288,23.38047
ATASCDRO_6_N001,35.465309,-120.671582,23.08591
ATWATER_1_B2,37.35999599998639,-120.6146481730584,23.02971
ATWATER_1_N001,37.35999599998639,-120.6147618269416,23.02971
ATW_SUB_LNODEONB,34.1096541600031,-118.254,23.92609
ATW_SUB_LNODEONC,34.10957291998536,-118.25394335044959,23.92609
ATW_SUB_LNODEOND,34.10957291998536,-118.2540566495504,23.92363
AUBERRY_6_N001,37.06806099998665,-119.495719527536,24.9474
AUBERRY_6_N003,37.06806099998665,-119.495832472464,24.9474
AUBURN_6_N001,38.903397,-121.069921,22.00943
AUGUST_LNODEDR1,37.4182520696912,-120.831252690486,23.92609
AUGUST_LNODEDR3,37.4182452743243,-120.831131410372,23.92609
AUGUST_LNODEDR4,37.4182458785436,-120.830989786937,23.92117
AUGUST_LNODEDR5,37.4182557186304,-120.831363604619,23.92609
AVENA_1_N001,37.842208,-121.054122,25.14296
AVOCADO_6_N001,33.38466699998843,-117.23692330729693,41.48331
AVOCADO_6_N002,33.38466699998843,-117.23703069270306,41.48331
BAFOOD1_6_N001,36.33,-121.16,22.75824
BAHIA_2_N001,38.08095331088854,-122.13739126700075,22.64976
BAHIA_2_N011,38.08077268899996,-122.13739126728416,22.64976
BAILYJ1_1_N010,34.77604,-118.77504,22.80259
BAIR_1_N001,37.496937,-122.214157,23.35575
BAKER_1_N001,35.284771,-116.064256,21.42215
BALFOUR_6_N001,37.92596,-121.678546,22.30661
BANGOR_6_N001,39.388064,-121.402937,20.48553
BANGS_LNODEKGC,37.70469,-121.0418,24.02931
BANNING_1_N001,33.922289,-116.87283,21.74772
BANTA_6_N001,37.7528989999862,-121.35057581075783,24.02308
BARRETT_6_N001,32.667194,-116.700208,45.86188
BARRE_6_N001,33.80900298319592,-117.98332966316445,24.45676
BARRE_6_N002,33.80900298319592,-117.98354633683554,24.45676
BARRE_6_N003,33.80918301670945,-117.9835463370635,24.45922
BARRY_6_N001,39.069323,-121.690208,21.00471
BARTON_1_N001,36.76408490976673,-119.735935,23.52676
BARTON_1_N007,36.76400404510246,-119.73587672164825,23.52676
BARTON_1_N008,36.76400404510246,-119.73599327835174,23.52676
BASALT_6_N002,38.26328599998595,-122.26916657483297,22.57427
BASALT_6_N101,38.26328599998595,-122.26928142516702,22.57427
BATAVIA_6_N001,38.385820999985995,-121.77570654480984,22.46279
BATIQTOS_1_N001,33.1011727252775,-117.250399,42.57759
BATIQTOS_1_N008,33.101092137348985,-117.25034345864424,42.57759
BATIQTOS_1_N015,33.101092137348985,-117.25045454135577,42.57759
BAYMDWS_1_N001,37.55162541726735,-122.29307795256243,23.34372
BAYMDWS_1_N004,37.551444582623034,-122.29307795283914,23.34372
BAYMDWS_1_N008,37.551444582623034,-122.29330604716085,23.34372
BAYMDWS_1_N012,37.55162541726735,-122.29330604743757,23.34372
BAYSHOR1_1_N001,37.74603599998622,-122.40302381566526,23.59913
BAYSHOR2_1_N001,37.74603599998622,-122.40313818433472,23.59913
BAYWOOD_6_N001,35.360177,-120.811564,23.43983
BCN_PP_LNODESS1,35.25680070871138,-118.02736892630813,23.64591
BCN_PP_LNODESS2,35.256766720360744,-118.02726679027704,23.64591
BEARTAP_1_N001,35.38,-119.0,22.64824
BELLEF_7_CN10,39.776083,-122.10383,22.3555
BELLEF_7_CN11,39.77608299994151,-122.10371323062876,22.35304
BELLPGE_1_N001,38.947418999985814,-121.0911283822858,21.95523
BELLPGE_1_N005,38.947418999985814,-121.0912436177142,21.95523
BELLVUE_1_N001,38.379084046922976,-122.712022,22.87253
BELLVUE_1_N003,38.37900297652332,-122.711962292445,22.87253
BELLVUE_1_N005,38.37900297652332,-122.712081707555,22.87253
