node_id,lat,lon,price_dp
BARTON_1_N001,36.76408490976673,-119.735935,56.40532
BARTON_1_N007,36.76400404510246,-119.73587672164825,56.40532
BARTON_1_N008,36.76400404510246,-119.73599327835174,56.40532
BASALT_6_N002,38.26328599998595,-122.26916657483297,58.83381
BASALT_6_N101,38.26328599998595,-122.26928142516702,58.83381
BATAVIA_6_N001,38.385820999985995,-121.77570654480984,58.23286
BATIQTOS_1_N001,33.1011727252775,-117.250399,58.67854
BATIQTOS_1_N008,33.101092137348985,-117.25034345864424,58.67854
BATIQTOS_1_N015,33.101092137348985,-117.25045454135577,58.67854
BAYMDWS_1_N001,37.55162541726735,-122.29307795256243,61.17864
BAYMDWS_1_N004,37.551444582623034,-122.29307795283914,61.17864
BAYMDWS_1_N008,37.551444582623034,-122.29330604716085,61.17864
BAYMDWS_1_N012,37.55162541726735,-122.29330604743757,61.17864
BAYSHOR1_1_N001,37.74603599998622,-122.40302381566526,61.87362
BAYSHOR2_1_N001,37.74603599998622,-122.40313818433472,61.87362
BAYWOOD_6_N001,35.360177,-120.811564,54.1542
BCN_PP_LNODESS1,35.25680070871138,-118.02736892630813,53.89505
BCN_PP_LNODESS2,35.256766720360744,-118.02726679027704,53.89505
BEARTAP_1_N001,35.38,-119.0,52.99451
BELLEF_7_CN10,39.776083,-122.10383,54.52737
BELLEF_7_CN11,39.77608299994151,-122.10371323062876,54.52737
BELLPGE_1_N001,38.947418999985814,-121.0911283822858,58.5792
BELLPGE_1_N005,38.947418999985814,-121.0912436177142,58.5792
BELLVUE_1_N001,38.379084046922976,-122.712022,59.53319
BELLVUE_1_N003,38.37900297652332,-122.711962292445,59.53319
BELLVUE_1_N005,38.37900297652332,-122.712081707555,59.53319
BELMONT_1_N001,37.52332024549896,-122.264967,61.58879
BELMONT_1_N006,37.52323887723573,-122.26490776711239,61.58879
BELMONT_1_N008,37.52323887723573,-122.26502623288762,61.58879
BELRIDGE_1_N001,35.455722,-119.631903,51.5049
BERESFRD_6_N001,37.565013999986284,-122.31923796388803,60.94797
BERESFRD_6_N002,37.565013999986284,-122.31935203611197,60.94797
BERNARDO_6_N001,33.021575,-117.096228,57.83824
BERNARDO_6_N002,33.021574999954524,-117.09612121988424,57.83824
BERNARDO_6_N009,33.02148546856512,-117.096228,57.83824
BERNARDO_6_N013,33.021574999954524,-117.09633478011577,57.83824
BERNARDO_6_N014,33.0216645314348,-117.096228,57.83824
BERNARDO_LNODEARDO,33.02157451,-117.0962277,52.8298
BERVLLY_6_N001,37.586478,-120.125088,54.97948
BIGBASN_6_N001,37.129545,-122.172132,60.97669
BIGCRK1_7_N001,37.20203293082091,-119.24090286336467,53.96341
BIGMDWS_6_N001,40.171215,-121.085128,53.50418
BIGRIVR_6_N001,39.311461,-123.786522,65.83731
BIOLA_6_N001,36.792525,-120.114116,54.34609
BIXLER_6_N001,37.9370142319286,-121.528389,59.62255
BKRSFLD_2_N001,35.388298999987455,-119.0044078374034,52.6869
BKRSFLD_2_N101,35.388298999987455,-119.0045181625966,52.6869
BLLEHVN_6_N001,37.4772652825887,-122.16793304841748,62.13566
BLLEHVN_6_N002,37.477186999945324,-122.16787609695427,62.13566
BLLEHVN_6_N004,37.477108717384,-122.1679330485368,62.13566
BLLEHVN_6_N006,37.477108717384,-122.1680469514632,62.13566
BLLEHVN_6_N007,37.477186999945324,-122.16810390304572,62.13566
BLUELKE_6_N001,40.88014,-123.980584,68.04908
BLUSTNPP_6_N003,38.575523,-121.497588,53.21708
BLYTHESC_1_N005,33.614957,-114.682935,49.95332
BNAVSTA_6_N001,36.653344,-121.62946,59.08559
BNAVSTA_6_N002,36.65334399994771,-121.62934811906177,59.08559
BNTACRB_6_N001,37.7528989999862,-121.35069018924217,53.56371
BOGARD_6_N001,40.586552,-121.093959,55.84266
BOGUE_1_N001,39.09613073444745,-121.623771,58.55817
BOGUE_1_N201,39.096050132760894,-121.62371103865068,58.55817
BOLINAS_6_N001,37.941119,-122.707332,59.62563
BOLLMAN_1_N003,38.04,-121.98,59.57184
BOLTHSE_1_N009,35.36215899998747,-118.92362184077258,53.20528
BONITA_6_N001,36.967863,-120.20266,57.83158
BONNIEN_7_N001,39.214314999985774,-120.80917722077704,57.74246
BORDEN_2_N007,36.92227399998671,-119.98422371699712,56.07134
BORDER_6_N001,32.56633480869927,-116.944389,47.55082
BORDER_6_N008,32.566254095638485,-116.94433370647506,47.55082
BORONDA_6_N001,36.689983,-121.679239,58.38491
BOSWELL_6_N001,36.085115,-119.552823,56.32276
BOWLES_6_N001,36.605651,-119.773312,54.64231
BRDGVLT_7_N001,40.47956799998481,-123.78034162638289,66.78421
BREEZE_LNODEYT1,35.123880999987534,-118.37403687435777,52.0839
BREEZE_LNODEYT2,35.123880999987534,-118.37414712564222,52.0839
BRENTWOD_2_N001,37.91959423612686,-121.676423,59.00203
BRENTWOD_2_N006,37.91951288192155,-121.67636345967551,59.00203
BRENTWOD_2_N011,37.91951288192155,-121.67648254032449,59.00203
BRGSMR_LNODEGZB,37.66621999998627,-120.97704287657282,57.39843
BRGSMR_LNODETHU,37.66621999998627,-120.97715712342718,57.39843
BRITTN_1_N001,37.37433620668406,-122.015575,61.07345
BRITTN_1_N005,37.37425489664326,-122.01551592726007,61.07345
BRITTN_1_N006,37.37425489664326,-122.01563407273993,61.07345
BRKRSLG_1_N005,38.57552299994369,-121.49747300547165,60.42693
BROCKWAY_LNODE01,39.243063530935196,-120.02634939696748,55.78061
BROCKWAY_LNODE02,39.242884468950564,-120.02634939726258,55.78061
BROCKWAY_LNODE51,39.242884468950564,-120.02658060273741,55.78061
BROCKWAY_LNODE52,39.243063530935196,-120.02658060303253,55.78061
BRRNDAC_6_N001,35.658183,-120.040362,52.90946
BRUNSWCK_1_N003,39.23119771901711,-121.034946,57.86731
BRUNSWCK_1_N008,39.23111714047599,-121.03488594065819,57.86731
BRUNSWCK_1_N101,39.23111714047599,-121.03500605934181,58.15214
BRWNSVY_6_N001,39.226226,-121.422634,58.47598
BUELLTON_1_N001,34.625261999987686,-120.18631205143852,55.95993
BUELLTON_1_N003,34.625261999987686,-120.18642194856149,55.95993
BUENAVS1_7_B1,36.653254242119594,-121.62934811919219,40.22181
BUENAVS1_7_B3,36.65319077379855,-121.6294272308971,40.22181
BUENAVS1_7_B4,36.653175595551595,-121.62953750035395,40.22181
BUENAVS1_7_B5,36.65320668330105,-121.62964245619625,40.22181
BUENAVS1_7_B6,36.653272145363964,-121.6297190021347,40.22181
BUENAVS1_7_B7,36.65335697428145,-121.62975556706088,40.22181
BUENAVS2_7_B1,36.65344659805961,-121.62974945473616,40.15346
BUENAVS2_7_B3,36.653528699704175,-121.62970424026268,40.15346
BUENAVS2_7_B4,36.653594014575496,-121.62962749889522,40.15346
BUENAVS2_7_B5,36.653636508590544,-121.62952895027708,40.15346
BULLARD_1_N001,36.824388,-119.769224,56.52442
BULLARD_1_N004,36.824387999947184,-119.76911168846675,56.52442
BULLARD_1_N005,36.824298097276774,-119.769224,56.52442
BULLARD_1_N006,36.824387999947184,-119.76933631153325,56.52442
BURLNGME_1_N001,37.589627,-122.363434,61.05901
BUTTE_1_N010,39.7118129999855,-121.81325170045862,57.63016
BUTTE_1_N101,39.7118129999855,-121.81336829954137,57.63016
BWILLIAM_LNODEILLW,34.16145330172,-114.38177086852794,52.9836
B_6_N001,32.714377595830264,-117.16944251257752,89.71368
B_6_N003,32.714198404079745,-117.16944251279143,89.71368
B_6_N005,32.714198404079745,-117.16965548720856,89.71368
B_6_N007,32.714377595830264,-117.16965548742249,89.71368
CABRILLO_1_N001,32.70751759908557,-117.24492651689708,55.75485
CABRILLO_6_N001,32.70733840082447,-117.24492651711095,74.78828
CABRILLO_6_N004,32.70733840082447,-117.24513948288904,74.78828
CALAVE_1_N001,36.71900181109094,-119.76554095699167,56.62195
CALAVE_1_N002,36.718822188804005,-119.76554095725366,56.62195
CALAVE_1_N004,36.718822188804005,-119.76576504274634,56.62195
CALCMENT_7_N4,37.37,-120.64,54.57864
CALISTGA_6_N001,38.592664,-122.57862,63.02565
CALLENDR_1_N001,35.04,-120.6,54.68671
CALPELLA_1_N001,39.197538,-123.192135,59.1313
CALSUB_LNODEET,39.521219,-120.008761,54.86347
CAMDEN_6_N001,36.446258999987045,-119.79904229562648,56.0949
