,DATA_ITEM,OPR_DATE,INTERVAL_NUM,INTERVAL_START_GMT,INTERVAL_END_GMT,VALUE,TRADING_HUB,RENEWABLE_TYPE
37,RENEW_FCST_DA_MW,2025-09-09,14,2025-09-09T20:00:00-00:00,2025-09-09T21:00:00-00:00,373.72,NP15,Wind
38,RENEW_FCST_DA_MW,2025-09-09,15,2025-09-09T21:00:00-00:00,2025-09-09T22:00:00-00:00,454.95,NP15,Wind
39,RENEW_FCST_DA_MW,2025-09-09,16,2025-09-09T22:00:00-00:00,2025-09-09T23:00:00-00:00,545.89,NP15,Wind
40,RENEW_FCST_DA_MW,2025-09-09,17,2025-09-09T23:00:00-00:00,2025-09-10T00:00:00-00:00,607.86,NP15,Wind
41,RENEW_FCST_DA_MW,2025-09-09,18,2025-09-10T00:00:00-00:00,2025-09-10T01:00:00-00:00,663.33,NP15,Wind
42,RENEW_FCST_DA_MW,2025-09-09,19,2025-09-10T01:00:00-00:00,2025-09-10T02:00:00-00:00,682.43,NP15,Wind
43,RENEW_FCST_DA_MW,2025-09-09,20,2025-09-10T02:00:00-00:00,2025-09-10T03:00:00-00:00,637.67,NP15,Wind
44,RENEW_FCST_DA_MW,2025-09-09,21,2025-09-10T03:00:00-00:00,2025-09-10T04:00:00-00:00,582.15,NP15,Wind
45,RENEW_FCST_DA_MW,2025-09-09,22,2025-09-10T04:00:00-00:00,2025-09-10T05:00:00-00:00,545.79,NP15,Wind
46,RENEW_FCST_DA_MW,2025-09-09,23,2025-09-10T05:00:00-00:00,2025-09-10T06:00:00-00:00,527.21,NP15,Wind
47,RENEW_FCST_DA_MW,2025-09-09,2,2025-09-09T08:00:00-00:00,2025-09-09T09:00:00-00:00,226.15,NP15,Wind
48,RENEW_FCST_DA_MW,2025-09-09,24,2025-09-10T06:00:00-00:00,2025-09-10T07:00:00-00:00,0,SP15,Solar
49,RENEW_FCST_DA_MW,2025-09-09,2,2025-09-09T08:00:00-00:00,2025-09-09T09:00:00-00:00,0,SP15,Solar
50,RENEW_FCST_DA_MW,2025-09-09,23,2025-09-10T05:00:00-00:00,2025-09-10T06:00:00-00:00,0,SP15,Solar
51,RENEW_FCST_DA_MW,2025-09-09,6,2025-09-09T12:00:00-00:00,2025-09-09T13:00:00-00:00,0.04,SP15,Solar
52,RENEW_FCST_DA_MW,2025-09-09,22,2025-09-10T04:00:00-00:00,2025-09-10T05:00:00-00:00,0,SP15,Solar
53,RENEW_FCST_DA_MW,2025-09-09,11,2025-09-09T17:00:00-00:00,2025-09-09T18:00:00-00:00,13085.77,SP15,Solar
54,RENEW_FCST_DA_MW,2025-09-09,21,2025-09-10T03:00:00-00:00,2025-09-10T04:00:00-00:00,0,SP15,Solar
55,RENEW_FCST_DA_MW,2025-09-09,3,2025-09-09T09:00:00-00:00,2025-09-09T10:00:00-00:00,0,SP15,Solar
56,RENEW_FCST_DA_MW,2025-09-09,20,2025-09-10T02:00:00-00:00,2025-09-10T03:00:00-00:00,1.1,SP15,Solar
57,RENEW_FCST_DA_MW,2025-09-09,10,2025-09-09T16:00:00-00:00,2025-09-09T17:00:00-00:00,12525.36,SP15,Solar
58,RENEW_FCST_DA_MW,2025-09-09,19,2025-09-10T01:00:00-00:00,2025-09-10T02:00:00-00:00,2044.2,SP15,Solar
59,RENEW_FCST_DA_MW,2025-09-09,5,2025-09-09T11:00:00-00:00,2025-09-09T12:00:00-00:00,0,SP15,Solar
60,RENEW_FCST_DA_MW,2025-09-09,18,2025-09-10T00:00:00-00:00,2025-09-10T01:00:00-00:00,7642.78,SP15,Solar
61,RENEW_FCST_DA_MW,2025-09-09,9,2025-09-09T15:00:00-00:00,2025-09-09T16:00:00-00:00,10416.29,SP15,Solar
62,RENEW_FCST_DA_MW,2025-09-09,17,2025-09-09T23:00:00-00:00,2025-09-10T00:00:00-00:00,11747.91,SP15,Solar
63,RENEW_FCST_DA_MW,2025-09-09,1,2025-09-09T07:00:00-00:00,2025-09-09T08:00:00-00:00,0,SP15,Solar
64,RENEW_FCST_DA_MW,2025-09-09,16,2025-09-09T22:00:00-00:00,2025-09-09T23:00:00-00:00,12848.31,SP15,Solar
65,RENEW_FCST_DA_MW,2025-09-09,8,2025-09-09T14:00:00-00:00,2025-09-09T15:00:00-00:00,5074.73,SP15,Solar
66,RENEW_FCST_DA_MW,2025-09-09,15,2025-09-09T21:00:00-00:00,2025-09-09T22:00:00-00:00,13222.07,SP15,Solar
67,RENEW_FCST_DA_MW,2025-09-09,4,2025-09-09T10:00:00-00:00,2025-09-09T11:00:00-00:00,0,SP15,Solar
68,RENEW_FCST_DA_MW,2025-09-09,14,2025-09-09T20:00:00-00:00,2025-09-09T21:00:00-00:00,13347.57,SP15,Solar
69,RENEW_FCST_DA_MW,2025-09-09,7,2025-09-09T13:00:00-00:00,2025-09-09T14:00:00-00:00,691.62,SP15,Solar
70,RENEW_FCST_DA_MW,2025-09-09,13,2025-09-09T19:00:00-00:00,2025-09-09T20:00:00-00:00,13374.53,SP15,Solar
71,RENEW_FCST_DA_MW,2025-09-09,12,2025-09-09T18:00:00-00:00,2025-09-09T19:00:00-00:00,13329.07,SP15,Solar
