,DATA_ITEM,RESOURCE_NAME,OPR_DATE,INTERVAL_NUM,INTERVAL_START_GMT,INTERVAL_END_GMT,VALUE
40,SYS_FCST_DA_MW,AVRN,2025-09-09,23,2025-09-10T05:00:00-00:00,2025-09-10T06:00:00-00:00,0
41,SYS_FCST_DA_MW,AVRN,2025-09-09,6,2025-09-09T12:00:00-00:00,2025-09-09T13:00:00-00:00,0
42,SYS_FCST_DA_MW,AVRN,2025-09-09,8,2025-09-09T14:00:00-00:00,2025-09-09T15:00:00-00:00,0
43,SYS_FCST_DA_MW,AVRN,2025-09-09,13,2025-09-09T19:00:00-00:00,2025-09-09T20:00:00-00:00,0
44,SYS_FCST_DA_MW,AVRN,2025-09-09,17,2025-09-09T23:00:00-00:00,2025-09-10T00:00:00-00:00,0
45,SYS_FCST_DA_MW,AVRN,2025-09-09,18,2025-09-10T00:00:00-00:00,2025-09-10T01:00:00-00:00,0
46,SYS_FCST_DA_MW,AVRN,2025-09-09,19,2025-09-10T01:00:00-00:00,2025-09-10T02:00:00-00:00,0
47,SYS_FCST_DA_MW,AVRN,2025-09-09,20,2025-09-10T02:00:00-00:00,2025-09-10T03:00:00-00:00,0
48,SYS_FCST_DA_MW,AZPS,2025-09-09,4,2025-09-09T10:00:00-00:00,2025-09-09T11:00:00-00:00,4317.89
49,SYS_FCST_DA_MW,AZPS,2025-09-09,21,2025-09-10T03:00:00-00:00,2025-09-10T04:00:00-00:00,6093.09
50,SYS_FCST_DA_MW,AZPS,2025-09-09,24,2025-09-10T06:00:00-00:00,2025-09-10T07:00:00-00:00,4894.16
51,SYS_FCST_DA_MW,AZPS,2025-09-09,2,2025-09-09T08:00:00-00:00,2025-09-09T09:00:00-00:00,4594.47
52,SYS_FCST_DA_MW,AZPS,2025-09-09,13,2025-09-09T19:00:00-00:00,2025-09-09T20:00:00-00:00,5469.93
53,SYS_FCST_DA_MW,AZPS,2025-09-09,19,2025-09-10T01:00:00-00:00,2025-09-10T02:00:00-00:00,6502.83
54,SYS_FCST_DA_MW,AZPS,2025-09-09,5,2025-09-09T11:00:00-00:00,2025-09-09T12:00:00-00:00,4296.99
