node_id,lon,lat,2025-09-20 15:00:00,2025-09-20 14:00:00,2025-09-20 13:00:00,2025-09-20 12:00:00,2025-09-20 11:00:00,2025-09-20 10:00:00,2025-09-20 01:00:00,2025-09-20 00:00:00,2025-09-19 23:00:00,2025-09-19 22:00:00,2025-09-19 21:00:00,2025-09-19 20:00:00,2025-09-19 19:00:00,2025-09-19 17:00:00,2025-09-19 16:00:00
12TH_S_LNODENMZ,-120.99316020050249,37.63715677998629,28.84173,27.27561,26.53068,27.07288,27.92849,28.74646,49.02524,51.44,51.74,52.0,56.24145,57.25292,57.37231,44.85635,42.85562
12TH_S_LNODEXWQ,-120.99327439949752,37.63715677998629,28.84173,27.27561,26.53068,27.07288,27.92849,28.74646,49.02524,51.44,51.74,52.0,56.24145,57.25292,57.37231,44.85635,42.85562
8TH_ST_LNODEBXG,-121.00603849646912,37.64197726998626,28.83611,27.27024,26.52547,27.06756,27.92302,28.74084,49.0203,51.44,51.74,52.0,56.23027,57.24154,57.36087,44.85635,42.85562
8TH_ST_LNODELZF,-121.00615270353089,37.64197726998626,28.83611,27.27024,26.52547,27.06756,27.92302,28.74084,49.0203,51.44,51.74,52.0,56.23027,57.24154,57.36087,44.85635,42.85562
AEC300_1_N001,-121.48,37.74,40.47693,36.26284,35.10269,35.5413,36.06483,33.39057,48.54082,49.8774,50.97442,50.23129,54.94094,56.49608,56.68556,49.01576,20.0
AGNEW_1_N003,-121.84,37.51,39.72343,35.48104,34.18366,35.08094,36.57317,41.99395,50.58725,51.9271,52.24,52.52184,58.60604,59.99009,63.41307,53.6184,53.59258
AIRPROD_1_N001,-119.54,36.65,11.72457,11.00745,10.62164,10.68592,10.94616,7.77931,51.56103,51.44,52.05294,52.512,60.01006,60.55749,61.77086,38.31991,29.27526
AIR_SUB_LNODENAA,-118.376,33.96205409081493,26.84508,25.87611,25.01047,25.59976,26.08739,26.82403,48.07617,51.44,51.74,52.0,53.64767,54.58973,54.95724,44.85635,42.85562
AIR_SUB_LNODENAB,-118.37594352117388,33.961972954579615,26.8479,25.87611,25.01047,25.59976,26.09012,26.82403,48.07123,51.44,51.74,52.0,53.64767,54.58404,54.95724,44.85635,42.85562
AIR_SUB_LNODEONC,-118.37605647882611,33.961972954579615,26.84508,25.87611,25.01047,25.59976,26.08739,26.82403,48.07617,51.44,51.74,52.0,53.64767,54.58973,54.95724,44.85635,42.85562
ALAMITOS_2_N001,-118.100596,33.771584,27.62968,26.63093,25.76797,26.30036,26.87252,27.57164,49.14387,51.44,51.74,52.0,54.61475,55.55713,56.00454,46.58562,44.50638
ALAMITOS_2_N040,-118.1,33.77,27.62968,26.63093,25.76797,26.30036,26.87252,27.57164,49.14387,51.44,51.74,52.0,54.61475,55.55713,56.00454,46.58562,44.50638
ALAMT1G_7_N002,-118.1004877514908,33.77149401717401,27.62968,26.63093,25.76797,26.30036,26.87252,27.57164,49.14387,51.44,51.74,52.0,54.61475,55.55713,56.00454,46.58562,44.50638
ALAMT2G_7_N002,-118.10067098425148,33.771415173499584,27.62968,26.63093,25.76797,26.30036,26.87252,27.57164,49.14387,51.44,51.74,52.0,54.61475,55.55713,56.00454,46.58562,44.50638
ALAMT3G_7_N002,-118.10077253262284,33.77144633917227,27.62968,26.62824,25.76797,26.30036,26.87252,27.57164,49.14387,51.44,51.74,52.0,54.61475,55.55713,56.00454,46.58562,44.50638
ALAMT4G_7_N002,-118.10084659342048,33.771511965310076,27.62968,26.62824,25.76797,26.30036,26.87252,27.57164,49.14387,51.44,51.74,52.0,54.61475,55.55713,56.00454,46.58562,44.50638
ALAMT5G_7_N002,-118.1008819712055,33.771597006833865,27.62968,26.62824,25.76797,26.30036,26.87252,27.57164,49.14387,51.44,51.74,52.0,54.61475,55.55713,56.00454,46.58562,44.50638
ALAMT6G_7_N002,-118.10083231072662,33.77176916262267,27.62968,26.63093,25.76797,26.30036,26.87252,27.57164,49.14387,51.44,51.74,52.0,54.61475,55.55713,56.00454,46.58562,44.50638
ALHAMBRA_1_N001,-122.13031167024369,37.99408499998608,39.38171,35.43013,34.2315,34.97341,36.13537,38.84696,48.95109,50.72558,51.00667,51.23463,56.75573,57.98701,58.24792,47.73368,46.87537
ALHAMBRA_1_N002,-122.13042632975632,37.99408499998608,39.38171,35.43013,34.2315,34.97341,36.13537,38.84696,48.95109,50.72558,51.00667,51.23463,56.75573,57.98701,58.24792,47.73368,46.87537
ALLEGHNY_6_N001,-120.844946,39.464893,38.8583,35.02328,33.82974,34.2414,34.82448,32.72663,46.93433,51.44,51.74,52.0,53.18928,53.99791,54.49941,47.55398,46.02951
ALMADEN_6_N001,-121.890082,37.26027,38.0214,34.06249,32.86973,33.80458,35.63986,43.24062,50.58725,51.82968,52.14,52.41747,59.44455,61.08268,62.97063,50.77099,50.74858
ALMOND_LNODEAUX,-120.98511610244,37.574202045609525,28.67581,27.17623,26.43176,26.97698,27.82454,28.64528,48.86706,51.44,51.74,52.0,55.81661,56.84889,56.98316,44.85635,42.85562
ALPAUGH_7_N002,-119.456796,35.963463732836644,20.49281,20.66135,20.09414,20.32085,20.69087,18.83106,48.44196,51.44,51.74,52.0,54.05015,54.84581,54.81417,40.05408,39.14156
ALPINE_6_N001,-116.7898727139108,32.82778299998866,10.77,-9.07,9.46455,8.29068,-8.22,8.88933,33.66237,27.77765,36.87061,34.8908,33.95646,27.69012,29.18638,6.50604,-10.07
