node_id,lat,lon,2025-09-21 22:00:00,2025-09-21 21:00:00,2025-09-21 20:00:00,2025-09-21 19:00:00,2025-09-21 18:00:00,2025-09-21 17:00:00,2025-09-21 16:00:00,2025-09-21 15:00:00,2025-09-21 14:00:00,2025-09-21 13:00:00,2025-09-21 12:00:00,2025-09-21 11:00:00,2025-09-21 10:00:00,2025-09-21 09:00:00,2025-09-21 08:00:00,2025-09-21 07:00:00,2025-09-21 06:00:00,2025-09-21 05:00:00,2025-09-21 04:00:00,2025-09-21 03:00:00,2025-09-21 02:00:00,2025-09-21 01:00:00,2025-09-21 00:00:00,2025-09-20 23:00:00
BOLTHSE_1_N009,35.36215899998747,-118.92362184077258,0.03421519980669779,0.019127678944797433,0.0,0.010973677536923064,0.07746020809909278,0.32115320022113053,0.44521390040298725,0.49785714339148107,0.4842248125514768,0.48619037573488877,0.4813316381987287,0.4797773284349479,0.5354596201133033,0.48055588595469517,0.28908908583171194,0.1296942548701457,0.16273404415279558,0.12192120990419424,0.11736562916349677,0.08271523758441075,0.0355392899435729,0.019416622343310437,0.07573253229620419,0.06527240723327257
BONITA_6_N001,36.967863,-120.20266,0.06780867959176475,0.033489695382847594,0.0,0.02520375924404617,0.15920110849928348,0.5054157857197126,0.6560997172638237,0.6894725507881472,0.6358645733275885,0.6346151777069949,0.6190758610575402,0.6109488305620575,0.6796415883214947,0.6293828783473018,0.31219430319958175,0.1619533211362217,0.19426165237702156,0.1561249600873716,0.15947373099360226,0.12313780380151954,0.07970193936061334,0.06177804490110693,0.10549762212602175,0.09047789382487702
BONNIEN_7_N001,39.214314999985774,-120.80917722077704,0.061132441794707934,0.03928203742752723,0.01856341852632833,0.013658887644916958,0.0,0.06525891786656533,0.1651775254728047,0.20736896893046658,0.28940376351102287,0.31255766725507306,0.32845360557238346,0.3223875254804364,0.3814145639344312,0.31984902149781846,0.29589607568843923,0.17192321106539707,0.18302871285541922,0.12088811961056803,0.13062219963230323,0.12033501002427645,0.06304018334466648,0.0502734448634263,0.11460739713001182,0.13062582470375536
BORDEN_2_N007,36.92227399998671,-119.98422371699712,0.06803862455721107,0.03180560461809815,0.0,0.019981957220062848,0.14964323095498203,0.5046062773250641,0.6417307165853685,0.6866342851017329,0.6265770871148293,0.6248271817938268,0.6132451142454166,0.6065460912500776,0.6771324884806503,0.628851447835873,0.3030175284763968,0.1534419192314595,0.18670698274166628,0.14853444138875369,0.15040806174670832,0.11437050812467106,0.07236744639258824,0.05305809289915258,0.09639466163593262,0.08367506959616075
BORDER_6_N001,32.56633480869927,-116.944389,0.0725809507507405,0.01601309794318904,0.013153312836219502,0.0,0.012853598079734914,0.27440527445705076,0.3876726258997976,0.44025272078932615,0.4530239993937105,0.42633321616963554,0.4140733309726373,0.4142969328808811,0.4192715445093563,0.3356854272315437,0.28382562775133247,0.14092114186258917,0.23703745928125944,0.22227026006420914,0.2047335984978656,0.1590858160930654,0.13989329174675388,0.08132886499736702,0.16228092239625452,0.16792911639843144
BORDER_6_N008,32.566254095638485,-116.94433370647506,0.0725809507507405,0.01601309794318904,0.013153312836219502,0.0,0.012853598079734914,0.27440527445705076,0.3876726258997976,0.44025272078932615,0.4530239993937105,0.42633321616963554,0.4140733309726373,0.4142969328808811,0.4192715445093563,0.3356854272315437,0.28382562775133247,0.14092114186258917,0.23703745928125944,0.22227026006420914,0.2047335984978656,0.1590858160930654,0.13989329174675388,0.08132886499736702,0.16228092239625452,0.16792911639843144
BORONDA_6_N001,36.689983,-121.679239,0.12587343678555632,0.09519214652182448,0.07423548949329142,0.07985291623312822,0.09688563056980064,0.26976332004102055,0.28584176427281316,0.39620219473801516,0.44531539600711284,0.4478358142747023,0.44964931031389044,0.44566061774050214,0.0,0.2988706388915753,0.32680613469340275,0.20113560306358494,0.23261736165705105,0.19413495906026454,0.2016337943114317,0.168039924543917,0.13035366252128724,0.11190027919017041,0.1539519149735849,0.14224999679579645
BOSWELL_6_N001,36.085115,-119.552823,0.09452507571427836,0.05211925982007496,0.0,0.03270218285598929,0.20867259188852436,0.6098447767914973,1.0187903441576247,1.105635822843305,1.0824274198013977,1.168287319993076,1.083301586520306,1.081827292791974,0.7608614424964751,0.6934922386732886,0.3264271889961084,0.16316154690759985,0.1979285058999187,0.1624273931956007,0.16248708995270317,0.13082619147826302,0.08993707230141969,0.06731216764578771,0.09969740894456969,0.07796130419621645
BOWLES_6_N001,36.605651,-119.773312,0.06612260184063352,0.03152070480703118,0.0,0.021766949136512958,0.17831469325810578,0.5897043231608192,0.7389974492769971,0.776701172672289,0.6918959090419812,0.6896163529647641,0.6742035137868693,0.6646519726405123,0.7387144177236216,0.6888549533788911,0.30232704897821483,0.14714545655259306,0.1797893461145751,0.14301742587100982,0.14527256488833662,0.10963345866277736,0.0669493428543818,0.04910408304826701,0.09160765017437562,0.07940376290966064
BRDGVLT_7_N001,40.47956799998481,-123.78034162638288,0.5453052840901658,0.5342127662273665,0.4813962459081969,0.43437098723805423,0.17441636427860382,0.11892285229150874,0.23422795005274688,0.2546569347464202,0.32180948382526153,0.291165511229093,0.35484302580734933,0.3556184713019754,0.38318425036899073,0.3745058814527789,0.43687711131488355,0.4420677595056495,0.5269298820458599,0.4734045189125844,0.4879492757156716,0.5252073305764581,0.5011140091206028,0.44825962834911376,0.0,0.0173460338301972
