oasis_node,caiso_matches
BPAT_MSS_WASCO-APND,[]
BPAT_NOB.LDWP-APND,[]
BPAT_POPD-APND,[]
BRODIE_2_WIND-APND,[]
BRP1_2_BEAVER1-7-APND,[]
BST_1_17900_ANT_BST-APND,[]
BUCKBL_2_PL1X3-APND,[]
BUCKCK_7_PL1X2-APND,"['BCKSCRK_7_B2', 'BCKSCRK_7_B3', 'BCKSCRK_7_N002']"
BZ_7_STZ-TRPG-APND,[]
CALGEN_1_UNITS-APND,[]
CAMCHE_1_PL1X3-APND,"['CAMANCHE_7_N001', 'CAMANCHE_7_N002', 'CAMANCHE_7_N003']"
CANFERRY_1_CYFY-APND,[]
CARBOU_7_PL2X3-APND,"['CARABOU_7_B1', 'CARABOU_7_B3']"
CARBOU_7_PL4X5-APND,"['CRBU38812_7_B1', 'CRBU38812_7_B3']"
CARLS1_2_CARCT1-APND,[]
CAR_1_CARMEN_S_PLANT-APND,[]
CDR_1_CHANDLER_PLANT-APND,[]
CDWR07_2_GEN-APND,[]
CEDARFLS_1_AGGGEN-APND,[]
CENTPD_2_BMSSX2-APND,[]
CENTPD_2_BMSX2-APND,[]
CENTRY_6_PL1X4-APND,"['AGUAMNSA_7_B1', 'CENTURY_7_B1', 'CENTURY_7_B3', 'CENTURY_7_B4', 'CENTURY_7_B5', 'DREWSG12_7_B1', 'DREWSG12_7_B3', 'DREWSG34_7_B1', 'DREWSG34_7_B3', 'VSTA_6_N001', 'VSTA_6_N008']"
CGAP_CHPD_MIDC-APND,[]
CGAP_DOPD_MIDC-APND,[]
CGAP_GCPD_MIDC-APND,[]
CGR_1_COUGAR_PLANT-APND,[]
CHESTN_2_CHWBX2-APND,[]
CHESTN_2_CHWSX2-APND,[]
CIG_6_PL-APND,[]
CLAP_AEPCO-APND,[]
CLAP_BANCMID-APND,[]
CLAP_BANCRDNG-APND,[]
CLAP_BANCRSVL-APND,[]
CLAP_BANCSMUD-APND,[]
CLAP_BANCWASN-APND,[]
CLAP_BANKPP-APND,[]
CLAP_BUNDLD-APND,[]
CLAP_CDWR07-APND,[]
CLAP_CIMWND-APND,[]
CLAP_CMS1-APND,"['COPPERMT_6_GN001', 'COPPERMT_7_N002']"
CLAP_CMS2-APND,['LSCM92_7_N005']
CLAP_CMS4-APND,[]
CLAP_CPVERD-APND,['C590M1_7_N004']
CLAP_CSLR4S-APND,['Q510_7_N005']
CLAP_DAC-APND,[]
CLAP_DIABLO-APND,[]
CLAP_DOSMGO-APND,[]
CLAP_DREWSR-APND,[]
CLAP_EAGLEMTN-APND,[]
CLAP_EDMONS-APND,[]
CLAP_ENERSJ-APND,[]
CLAP_ESJWD2-APND,[]
CLAP_GARLND-APND,[]
CLAP_GENE_INTAKE-APND,['GENE_2_N001']
CLAP_GW2BT1-APND,[]
CLAP_HWP1-APND,['MCSNCK1_7_B1']
CLAP_HWP2-APND,[]
CLAP_HYTTHM-APND,[]
CLAP_IRONMTN-APND,['IRONMTN_2_N001']
CLAP_IVSLR2-APND,[]
CLAP_IVSLRP-APND,['IVSOLARS_7_N007']
CLAP_IVWEST-APND,[]
CLAP_JHINDS-APND,[]
CLAP_LARKSP-APND,"['BORDER_6_N001', 'BORDER_6_N008']"
CLAP_LAROA2-APND,['LAROA2CT_7_B1']
CLAP_LMEC-APND,"['LMECCT1_7_B1', 'LMECCT1_7_N001', 'LMECCT2_7_B1', 'LMECCT2_7_N001', 'LMECST1_7_B1', 'LMECST1_7_N001']"
CLAP_MRCHNT-APND,[]
CLAP_MSLD67-APND,"['MOSSLND6_7_B2', 'MOSSLND6_7_ND001', 'MOSSLND7_7_B2', 'MOSSLND7_7_ND001']"
CLAP_OCTILO-APND,[]
CLAP_OGROVE-APND,[]
CLAP_OSO-APND,[]
CLAP_PEARBL-APND,"['PEARBMAP_7_B1', 'PEARBMAP_7_B3', 'PEARBMAP_7_B4']"
CLAP_PLUMAS-APND,[]
CLAP_PRIMM-APND,[]
CLAP_PRIMMBT1-APND,[]
CLAP_SANCLA-APND,[]
CLAP_SOTP-APND,[]
CLAP_SRMSR1-APND,[]
CLAP_SZWDN-APND,[]
CLAP_SZWDS-APND,[]
CLAP_TERMEX-APND,[]
CLAP_TRNQLT-APND,[]
CLAP_WALC-APND,[]
CLAP_WISTRA-APND,[]
CLAP_WWRSR1-APND,[]
CLARK_7_UNITS 11-14-APND,[]
CLARK_7_UNITS 15-18-APND,[]
CLARK_7_UNITS 19-22-APND,[]
CLARK_7_UNITS 5-6 10-APND,[]
CLARK_7_UNITS 7-9-APND,[]
CLEARWTR_1_GEN_TOTAL-APND,[]
CLEARWTR_1_NCL-APND,[]
CLINESCO_3_ELCABOWF-APND,[]
CMC_7_ALIGNEDDC-APND,[]
CMS3PP_5_SOLAR-APND,[]
COLUSA_2_PL1X3-APND,[]
COLVIL_7_PL1X2-APND,"['COLLRVL1_7_B1', 'COLLRVL2_7_B1']"
CORONS_6_CLRWTR-APND,[]
COVE_1_GEO-APND,[]
COYOTESP_5_GEN_CC-APND,[]
CPG_2_BLKA-APND,[]
CPG_2_BLKB-APND,[]
CPG_2_BLKC-APND,[]
CPP_2_PL-APND,[]
CPXG_6_SOLAR-APND,[]
CRESTA_7_PL1X2-APND,"['CRESTA_7_B1', 'CRESTA_7_B3']"
CROOKEDF_1_CFALLS-APND,[]
CSF_1_HIGHLNDS_PLANT-APND,[]
CSG_2_PL-APND,[]
CSP1_5_COYOTE1-APND,[]
CUSHMAN_7_GEN-APND,[]
CWP_1_CONDWIND_PLANT-APND,[]
CYP1_5_CARTY1-APND,[]
CZF_2_COWFALLS_PLANT-APND,[]
DAVIS_2_HYDR-APND,[]
DBN_2_BLK1-APND,[]
DC_ADLNTO-APND,[]
DC_ADLNTO_BURB-APND,[]
DC_ADLNTO_GLEN-APND,[]
DC_ADLNTO_LADWP-APND,[]
DC_CELILO-APND,[]
DC_CELILO_BURB-APND,[]
DC_CELILO_GLEN-APND,[]
DC_CELILO_LADWP-APND,[]
DC_INTMNT-APND,[]
DC_INTMTN_BURB-APND,[]
DC_INTMTN_GLEN-APND,[]
DC_INTMTN_LADWP-APND,[]
DC_SYLMAR-APND,[]
DC_SYLMAR_BURB-APND,[]
DC_SYLMAR_GLEN-APND,[]
DC_SYLMAR_LADWP-APND,[]
DELSUR_6_CREST-APND,"['DELSURC1_7_N003', 'DELSURC1_7_N004', 'DELSURC1_7_N005', 'DELSURC1_7_N006']"
DELTA_2_PL1X4-APND,[]
DET_2_DETROIT_PLANT-APND,[]
DGAP_AESO-APND,[]
DGAP_AVA-APND,[]
DGAP_AVRN-APND,[]
DGAP_AZPS-APND,[]
DGAP_BANC-APND,[]
DGAP_BCHA-APND,[]
DGAP_BNBA-APND,[]
DGAP_BPAT-APND,[]
DGAP_BURBANK-APND,[]
DGAP_CEN-APND,[]
DGAP_CHPD-APND,[]
DGAP_CISO-APND,[]
DGAP_DEAA-APND,[]
DGAP_DOPD-APND,[]
DGAP_EPE-APND,[]
DGAP_GCPD-APND,[]
DGAP_GLENDALE-APND,[]
DGAP_GRID-APND,[]
DGAP_GWA-APND,[]
DGAP_HGMA-APND,[]
DGAP_IID-APND,[]
DGAP_IPCO-APND,[]
DGAP_LADWP-APND,[]
DGAP_NEVP-APND,[]
DGAP_NWMT-APND,[]
DGAP_PGE-APND,[]
DGAP_PNM-APND,[]
DGAP_PSCO-APND,[]
DGAP_PSEI-APND,[]
DGAP_SCL-APND,[]
DGAP_SPP-APND,[]
DGAP_SRP-APND,[]
DGAP_TEPC-APND,[]
DGAP_TIDC-APND,[]
DGAP_TPWR-APND,[]
DGAP_WACM-APND,[]
DGAP_WALC-APND,[]
DGAP_WAUW-APND,[]
DGAP_WWA-APND,[]
DLAP_PGAE-APND,[]
DLAP_SCE-APND,[]
DLAP_SDGE-APND,[]
DLAP_VEA-APND,[]
DMDVLY_1_UNITS-APND,"['ESRPP1_7_N001', 'ESRPP1_7_N003', 'ESRPP1_7_N004', 'ESRPP1_7_N005', 'ESRPP2_7_N001', 'ESRPP2_7_N003', 'ESRPP2_7_N004', 'ESRPP2_7_N005', 'ESRPP3_7_N001', 'ESRPP3_7_N002', 'ESRPP3_7_N004', 'ESRPP3_7_N005']"
DREWS_6_PL1X4-APND,"['AGUAMNSA_7_B1', 'CENTURY_7_B1', 'CENTURY_7_B3', 'CENTURY_7_B4', 'CENTURY_7_B5', 'DREWSG12_7_B1', 'DREWSG12_7_B3', 'DREWSG34_7_B1', 'DREWSG34_7_B3', 'VSTA_6_N001', 'VSTA_6_N008']"
DRUM_7_PL1X2-APND,"['DRUM38780_7_B1', 'DRUM38780_7_B3']"
DRUM_7_PL3X4-APND,"['DRUM38780_7_B4', 'DRUM38780_7_B7']"
DRYE_6_WIND-APND,[]
DRYW_6_WIND-APND,[]
DSN_7_FHS_BESS-APND,[]
DSRTSL_2_SOLAR1-APND,[]
DSRTSN_2_DS2BX2-APND,[]
DSRTSN_2_DS2X2-APND,[]
DSRTSN_2_SOLAR1-APND,[]
DSRTSN_2_SOLAR2-APND,[]
DUANE_1_PL1X3-APND,[]
DVLCYN_1_UNITS-APND,[]
DWR_5_DWORSHAK_PLANT-APND,[]
ELAND1_2_HYBRID-APND,[]
ELAND2_2_HYBRID-APND,[]
ELAP_AVA-APND,[]
ELAP_AVRN-APND,[]
ELAP_AZPS-APND,[]
ELAP_BANC-APND,[]
ELAP_BCHA-APND,[]
ELAP_BPAT-APND,[]
ELAP_EPE-APND,[]
ELAP_IPCO-APND,[]
ELAP_LADWP-APND,[]
ELAP_NEVP-APND,[]
ELAP_NWMT-APND,[]
ELAP_PGE-APND,[]
ELAP_PNM-APND,[]
ELAP_PSEI-APND,[]
ELAP_SCL-APND,[]
ELAP_SRP-APND,[]
ELAP_TEPC-APND,[]
ELAP_TIDC-APND,[]
ELAP_TPWR-APND,[]
ELAP_WALC-APND,[]
ELECTR_7_PL1X3-APND,"['ELECTRA_7_B1', 'ELECTRA_7_B3', 'ELECTRA_7_B4']"
ELKHIL_2_PL1X3-APND,[]
ELKHRN_1_EESX3-APND,[]
ELSEGN_2_UN1011-APND,"['UNIT5GT_7_N001', 'UNIT6ST_7_N001']"
ELSEGN_2_UN2021-APND,[]
EPE_AFTON345_EPE-APND,[]
EPE_AIRPORT115_EPE-APND,[]
EPE_AMRAD115_EPE-APND,[]
EPE_GREENLEE_EPE-APND,[]
EPE_HIDALGO345_EPE-APND,[]
EPE_LASCRCS115_EPE-APND,[]
EPE_LUNA345_EPE-APND,[]
EPE_MACHOSPRNG345-APND,[]
EPE_OROGRANDE115_EPE-APND,[]
EPE_OSOGRANDE-APND,[]
EPE_PALOVERDE500_EPE-APND,[]
EPE_PICACHO115_EPE-APND,[]
EPE_SPRINGER_EPE-APND,[]
EPE_WM345_EPE-APND,[]
ESR_1_UNITS-APND,[]
FER_1_UNITS-APND,[]
FH_7_FT_HUACH_SOLR-APND,[]
FILIPPI_2_QZSBTX-APND,[]
FILIPPI_2_QZSSRX-APND,[]
FOLSOM_7_UNITS-APND,[]
FOS_1_FOSTER_PLANT-APND,[]
FRFLD_WD_6_AGG-APND,[]
GATWAY_2_PL1X3-APND,[]
GENESI_2_STG-APND,[]
GHE_2_GRAYS_H_PLANT-APND,[]
GILROY_1_UNIT-APND,[]
GILRPP_1_PL1X2-APND,[]
GLD_2_UNITS-APND,[]
GLRV_5_BLK1-APND,[]
GLRV_5_BLK4-APND,[]
GL_2_MWE-APND,[]
GORGE_2_AGGGEN-APND,[]
GPR_1_GRN_PETE_PLANT-APND,[]
GPS_1_GOOSE_PR_PLANT-APND,[]
GRIFFITH_ASR-APND,[]
GRNLF1_1_PL1X2-APND,[]
GR_5_GILA_RIVER_2-APND,[]
GR_5_GILA_RIVER_3-APND,[]
GWFPWR_1_UNITS-APND,"['GWFCT1_7_B1', 'GWFCT2_7_B1']"
GYS5X6_7_UNITS-APND,"['GEYSR5-6_7_B2', 'GEYSR5-6_7_B3', 'GEYSR5-6_7_N001']"
GYS7X8_7_UNITS-APND,"['GEYSER78_7_B1', 'GEYSER78_7_B3']"
H ALLEN_7_UNIT 3-4-APND,[]
HAASPH_7_PL1X2-APND,"['HAAS_7_B1', 'HAAS_7_B11']"
HACC_7_UNITS 5-7-APND,[]
HARBGN_7_UNITS-APND,"['HARBORG_7_B2', 'HARBORG_7_B3', 'HARBORG_7_B4', 'HARBORG_7_N101']"
HARGS_1_CC_1_2_5-APND,[]
HAR_5_BLK1-APND,[]
HAS_7_HAVASU_SOLAR-APND,[]
HAVASU_2_CAPAGPUMPS-APND,[]
HAYGS_2_CC8_9_10-APND,[]
HBW_2_SHEPDSSC_PLANT-APND,[]
HCR_1_HILLS_CR_PLANT-APND,[]
HENRTA_6_ELCBX2-APND,[]
HGH_2_HUNGRY_H_PLANT-APND,[]
HICKMAN_7_PLANT-APND,[]
HIDSRT_2_UNITS-APND,"['HIDEDCT1_7_B1', 'HIDEDCT2_7_B1', 'HIDEDCT3_7_B1', 'HIDEDST1_7_B1']"
HIGGINS_7_UNITS-APND,[]
HMJ_1_JACKSN_PLANT-APND,[]
HNTGBH_2_PL1X3-APND,[]
HOLTER_1_HLTR-APND,[]
HRW_1_HOPKRIDG_PLANT-APND,[]
HUMBPP_6_UNITS-APND,"['HMBLTBY_6_N003', 'HMBUNIT1_7_GN010', 'HMBUNIT2_7_GN010']"
HWP_2_WHITECRK_PLANT-APND,[]
HYTTHM_2_UNITS-APND,[]
INTGS_3_PP-APND,[]
INTKEP_2_UNITS-APND,[]
IPCO_BORA-APND,[]
IPCO_BPAT.PSEI-APND,[]
IPCO_GSHN-APND,[]
IPCO_HMWY-APND,[]
IPCO_HURR-APND,[]
IPCO_JBSN-APND,[]
IPCO_LAGRANDE-APND,[]
IPCO_LOLO-APND,[]
IPCO_M345-APND,[]
IPCO_PTSN-APND,[]
IPCO_SCLLAGRANDEIPC-APND,[]
IPCO_TENDOY-APND,[]
IPCO_WALLAWALLA-APND,[]
IVWEST_2_SOLAR1-APND,[]
JOA_5_SON_HYBRID-APND,[]
KAISER_7_NCL-APND,[]
KELSO_2_UNITS-APND,['KELSO_2_N001']
KERR_1_SKQ-APND,[]
KLAMB_BP_5_CC-APND,[]
KLAMB_BP_5_PEAKER-APND,[]
KLNDSCHL_2_K3-APND,[]
KOLA_2_KLBBT1-APND,[]
KRAMER_1_R1BX3-APND,[]
KRAMER_1_R1PX3-APND,[]
KRAMER_1_R2BX2-APND,"['SUNGEN6G_7_N004', 'SUNGEN6G_7_N005', 'SUNGEN7G_7_N003', 'SUNGEN7G_7_N005']"
KRAMER_1_R2PX2-APND,"['SUNGEN6G_7_N004', 'SUNGEN6G_7_N005', 'SUNGEN7G_7_N003', 'SUNGEN7G_7_N005']"
KY_6_BLK7-APND,[]
LADWP_APEX_NEVP-APND,[]
LADWP_CRYSTAL500-APND,[]
LADWP_GON.IPP-APND,[]
LADWP_IPP.ACES-APND,[]
LADWP_MCC230.LDWP-APND,[]
LADWP_MCCULLOUG230-APND,[]
LADWP_MEAD230.LDWP-APND,[]
LADWP_MPAC-APND,[]
LADWP_MRKTPLACE.LDWP-APND,[]
LADWP_NAVAJO-APND,[]
LADWP_NOB.LDWP-APND,[]
LAGRANDE_7_GEN1_4-APND,[]
LAGRANGE_6_PLANT-APND,[]
LANCASTR_2_GEN_CC-APND,[]
LAROA2_2_UNITA1-APND,[]
LBG_6_LEABURG_PLANT-APND,[]
LEANJUN2_2_LJ2-APND,[]
LEBECS_2_UNITS-APND,[]
LECEF_1_UNITS-APND,[]
LENZIE_7_UNITS PB1-APND,[]
LENZIE_7_UNITS PB2-APND,[]
LGPR_2_G011_G012-APND,[]
LIB_2_LIBBY_PLANT-APND,[]
LMEC_1_PL1X3-APND,"['LMECCT1_7_B1', 'LMECCT1_7_N001', 'LMECCT2_7_B1', 'LMECCT2_7_N001', 'LMECST1_7_B1', 'LMECST1_7_N001']"
LODIEC_2_PL1X2-APND,"['LODICTG_7_B1', 'LODISTG_7_B1']"
LOP_1_LOOKOTPT_PLANT-APND,[]
LOS_1_LSTCR_PH_PLANT-APND,[]
LSW_2_PHALGLCH_PLANT-APND,[]
LVCOGEN_1_UNITS PB2-3-APND,[]
LVF_1_FIBRE89_PLANT-APND,[]
LWRCOL_5_ABC_ORA-APND,[]
LWRCOL_5_APR_ORA-APND,[]
LWRCOL_5_BASE_ORA-APND,[]
LWRCOL_5_CR-APND,[]
LWRSNK_5_ABC_ORA-APND,[]
LWRSNK_5_APR_ORA-APND,[]
LWRSNK_5_BASE_ORA-APND,[]
LWRSNK_5_CR-APND,[]
MALAGA_1_ACDBX2-APND,[]
MANZNA_2_WIND-APND,[]
MARVEL_2_MARBX2-APND,[]
MAYFIELD_7_GEN-APND,[]
MCFLND_5_MBSBX2-APND,[]
MDFKRL_2_PROJCT-APND,[]
MDF_7_MIDLFRK_PLANT-APND,[]
MEE_5_BLK1-APND,[]
MELONP_7_UNITS-APND,[]
METEC_2_PL1X3-APND,[]
MIDC_5_PGESHARE-APND,[]
MIDC_7_CHPDPSESHARE-APND,[]
MIDC_7_DOPDPGESHARE-APND,[]
MIDC_7_GCPDPSESHARE-APND,[]
