oasis_node,caiso_matches,lat/lon
POD_GARNET_2_WIND3-APND,"['TOT032G1_7_N001', 'TOT032G2_7_N001', 'TOT032G3_7_N001', 'TOT032G4_7_N001', 'TOT032G5_7_N001', 'TOT032G8_7_N001']","[[33.934167, -116.571388], [33.934166999952346, -116.5712793705161], [33.93407687229218, -116.57127937063106], [33.93401314245606, -116.57135618321828], [33.933997901671624, -116.57146324807424], [33.93418002777364, -116.57167497736444]]"
POD_GARNET_2_WIND4-APND,"['TOT032G1_7_N001', 'TOT032G2_7_N001', 'TOT032G3_7_N001', 'TOT032G4_7_N001', 'TOT032G5_7_N001', 'TOT032G8_7_N001']","[[33.934167, -116.571388], [33.934166999952346, -116.5712793705161], [33.93407687229218, -116.57127937063106], [33.93401314245606, -116.57135618321828], [33.933997901671624, -116.57146324807424], [33.93418002777364, -116.57167497736444]]"
POD_GARNET_2_WIND5-APND,"['TOT032G1_7_N001', 'TOT032G2_7_N001', 'TOT032G3_7_N001', 'TOT032G4_7_N001', 'TOT032G5_7_N001', 'TOT032G8_7_N001']","[[33.934167, -116.571388], [33.934166999952346, -116.5712793705161], [33.93407687229218, -116.57127937063106], [33.93401314245606, -116.57135618321828], [33.933997901671624, -116.57146324807424], [33.93418002777364, -116.57167497736444]]"
POD_GATWAY_2_PL1X3-APND,"['CCOS6_7_B1', 'CCOS7_7_B1', 'CCOSTA_2_N001', 'CCSUB_2_N001', 'CCSUB_2_N010', 'T320BS1_7_B1', 'T320BS2_7_B1', 'T320BS3_7_B1', 'T320BS4_7_B1']","[[37.99874721472367, -121.783314], [37.9986658926232, -121.7832544189935], [37.9986658926232, -121.7833735810065], [38.01999999998606, -121.7599426586008], [38.01999999998606, -121.7600573413992], [38.01235335073215, -121.7581763238846], [38.01217264915648, -121.75817632416728], [38.01217264915648, -121.7584056758327], [38.01235335073215, -121.7584056761154]]"
POD_GEYS12_7_UNIT12-APND,"['FULTON_2_N010', 'FULTON_2_N049']","[[38.49657200829278, -122.75943026543568], [38.49657200829278, -122.75954973456432]]"
POD_GEYS14_7_UNIT14-APND,"['FULTON_2_N010', 'FULTON_2_N049']","[[38.49657200829278, -122.75943026543568], [38.49657200829278, -122.75954973456432]]"
POD_GEYS16_7_UNIT16-APND,"['FULTON_2_N010', 'FULTON_2_N049']","[[38.49657200829278, -122.75943026543568], [38.49657200829278, -122.75954973456432]]"
POD_GEYS17_7_UNIT17-APND,"['FULTON_2_N010', 'FULTON_2_N049']","[[38.49657200829278, -122.75943026543568], [38.49657200829278, -122.75954973456432]]"
POD_GILROY_1_UNIT-APND,['GILROYF_1_N001'],"[[37.14, -121.58]]"
POD_GILRPP_1_PL1X2-APND,['GILROYF_1_N001'],"[[37.14, -121.58]]"
POD_GILRPP_1_PL3X4-APND,['GILROYF_1_N001'],"[[37.14, -121.58]]"
POD_GLNARM_2_UNIT 5-APND,"['GLNARMC1_7_B1', 'GLNARMC2_7_B1', 'GLNARMC3_7_B1', 'GLNARMC4_7_B1']","[[34.125226999951806, -118.15210094450056], [34.12513672239534, -118.15221], [34.125226999951806, -118.15231905549946], [34.1253172776047, -118.15221]]"
POD_GRIZLY_1_UNIT 1-APND,['GRIZZLYG_7_B1'],"[[39.71617299994167, -121.520951389564]]"
