oasis_node,caiso_matches,lat/lon
AGRICO_6_PL3N5-APND,"['AGRICO_7_B1', 'AGRICO_7_B3', 'AGRICO_7_B4']","[[36.61707583794443, -120.099846], [36.6169950810137, -120.09978791045371], [36.6169950810137, -120.09990408954629]]"
AGRICO_7_UNIT-APND,"['AGRICO_7_B1', 'AGRICO_7_B3', 'AGRICO_7_B4']","[[36.61707583794443, -120.099846], [36.6169950810137, -120.09978791045371], [36.6169950810137, -120.09990408954629]]"
BLKCRK_2_GMCBT1-APND,"['TOT223G_7_NT1A', 'TOT223G_7_NT1B']","[[33.70312399998822, -114.76486195604213], [33.70312399998822, -114.76497004395787]]"
BLKCRK_2_SOLAR1-APND,"['TOT223G_7_NT1A', 'TOT223G_7_NT1B']","[[33.70312399998822, -114.76486195604213], [33.70312399998822, -114.76497004395787]]"
BUCKCK_7_PL1X2-APND,"['BCKSCRK_7_B2', 'BCKSCRK_7_B3', 'BCKSCRK_7_N002']","[[39.91061999998525, -121.32763342860044], [39.91061999998525, -121.32775057139956], [40.07531, -121.16143]]"
CAMCHE_1_PL1X3-APND,"['CAMANCHE_7_N001', 'CAMANCHE_7_N002', 'CAMANCHE_7_N003']","[[38.226854124077015, -121.0245], [38.22677293794635, -121.02444033255529], [38.22677293794635, -121.0245596674447]]"
CARBOU_7_PL2X3-APND,"['CARABOU_7_B1', 'CARABOU_7_B3']","[[40.08553000636179, -121.148241], [40.08544899680309, -121.14830213161764]]"
CARBOU_7_PL4X5-APND,"['CRBU38812_7_B1', 'CRBU38812_7_B3']","[[40.069999999985214, -121.14994119857616], [40.069999999985214, -121.15005880142382]]"
CENTRY_6_PL1X4-APND,"['AGUAMNSA_7_B1', 'CENTURY_7_B1', 'CENTURY_7_B3', 'CENTURY_7_B4', 'CENTURY_7_B5', 'DREWSG12_7_B1', 'DREWSG12_7_B3', 'DREWSG34_7_B1', 'DREWSG34_7_B3', 'VSTA_6_N001', 'VSTA_6_N008']","[[34.042605, -117.362707], [34.06069023060133, -117.35319108429329], [34.06050976930267, -117.3531910845252], [34.06050976930267, -117.3534089154748], [34.06069023060133, -117.35340891570672], [34.060990230829425, -117.35309108363238], [34.06080976907458, -117.3530910838643], [34.06080976907458, -117.3533089161357], [34.060990230829425, -117.3533089163676], [34.04125299995202, -117.32083587276313], [34.04134321575355, -117.320727]]"
CLAP_CMS1-APND,"['COPPERMT_6_GN001', 'COPPERMT_7_N002']","[[35.7814, -114.9933], [35.7881, -114.9933]]"
CLAP_CMS2-APND,['LSCM92_7_N005'],"[[35.786389, -114.962778]]"
CLAP_CPVERD-APND,['C590M1_7_N004'],"[[32.753333, -115.726389]]"
CLAP_CSLR4S-APND,['Q510_7_N005'],"[[32.6645, -115.6739]]"
CLAP_GENE_INTAKE-APND,['GENE_2_N001'],"[[34.3, -114.23]]"
CLAP_HWP1-APND,['MCSNCK1_7_B1'],"[[37.53549999998638, -121.85614999142506]]"
CLAP_HWP2-APND,"['HOLM1_7_B1', 'HOLM2_7_B1', 'KIRKWD1_7_B1', 'KIRKWD2_7_B1', 'KIRKWD3_7_B1']","[[37.83, -119.99], [37.86, -120.0], [37.87772124498671, -119.953233], [37.877639877491646, -119.9531734838176], [37.877639877491646, -119.9532925161824]]"
CLAP_IRONMTN-APND,['IRONMTN_2_N001'],"[[34.16, -115.12]]"
CLAP_IVSLRP-APND,['IVSOLARS_7_N007'],"[[32.671389, -114.413333]]"
CLAP_LARKSP-APND,"['BDLRKSP2_7_B1', 'BORDER_6_N001', 'BORDER_6_N008']","[[32.56753899998902, -116.94249420647814], [32.56633480869927, -116.944389], [32.566254095638485, -116.94433370647506]]"
CLAP_LAROA2-APND,"['LAROA2CT_7_B1', 'LAROA2ST_7_B1']","[[32.60096975850368, -115.6615738408348], [32.60096975850368, -115.6616802675852]]"
CLAP_LMEC-APND,"['LMEC1_1_N001', 'LMEC1_1_N101', 'LMEC1_1_N601', 'LMEC1_1_N801', 'LMECCT1_7_B1', 'LMECCT1_7_N001', 'LMECCT2_7_B1', 'LMECCT2_7_N001', 'LMECST1_7_B1', 'LMECST1_7_N001']","[[38.030625, -121.896783], [38.03062499994427, -121.89666830800388], [38.0305346591732, -121.89666830814532], [38.03047077865233, -121.8967494075628], [38.03045550182725, -121.89686244757443], [38.0304867914731, -121.89697004046928], [38.030552678679065, -121.89704850966314], [38.03063805852326, -121.89708599331652], [38.03072826437463, -121.8970797274369], [38.03081089924409, -121.89703337694176]]"
CLAP_MSLD67-APND,"['MOSSLND6_7_B2', 'MOSSLND6_7_ND001', 'MOSSLND7_7_B2', 'MOSSLND7_7_ND001']","[[36.80399515757413, -121.78373687046128], [36.80399515757413, -121.78384912953872], [36.80407299994722, -121.78390525919156], [36.80415084239949, -121.78384912965284]]"
CLAP_PEARBL-APND,"['PEARBMAP_7_B1', 'PEARBMAP_7_B3', 'PEARBMAP_7_B4', 'PEARBMBP_7_B1', 'PEARBMBP_7_B3', 'PEARBMBP_7_B4', 'PEARBMCP_7_B1', 'PEARBMCP_7_B3']","[[34.508883999950896, -117.91829825412502], [34.50879356514072, -117.9182982542441], [34.50872961811796, -117.91837585623696], [34.50871432539329, -117.91848402139895], [34.50874564762435, -117.91858697434265], [34.5088116034329, -117.91866205952238], [34.50889707216307, -117.91869792664748], [34.50898737191128, -117.9186919309436]]"
COLVIL_7_PL1X2-APND,"['COLLRVL1_7_B1', 'COLLRVL2_7_B1']","[[38.14, -120.4], [38.15, -120.39]]"
CRESTA_7_PL1X2-APND,"['CRESTA_7_B1', 'CRESTA_7_B3']","[[39.82590699998536, -121.40962854734236], [39.82590699998536, -121.40974545265765]]"
DELSUR_6_CREST-APND,"['DELSURC1_7_N003', 'DELSURC1_7_N004', 'DELSURC1_7_N005', 'DELSURC1_7_N006']","[[34.497778, -117.471111], [34.6651389999877, -118.28767002884496], [34.6651389999877, -118.28777997115502], [34.708589, -118.274121]]"
DMDVLY_1_UNITS-APND,"['ESRPP1_7_N001', 'ESRPP1_7_N003', 'ESRPP1_7_N004', 'ESRPP1_7_N005', 'ESRPP2_7_N001', 'ESRPP2_7_N003', 'ESRPP2_7_N004', 'ESRPP2_7_N005', 'ESRPP3_7_N001', 'ESRPP3_7_N002', 'ESRPP3_7_N004', 'ESRPP3_7_N005']","[[33.6808, -117.0698], [33.680799999953, -117.0696919641604], [33.680710099008856, -117.06969196427336], [33.680646529484555, -117.06976835709168], [33.6806313270385, -117.06987483685629], [33.68066246436811, -117.06997618561556], [33.680728030822905, -117.07005010083232], [33.68081299500627, -117.07008540907444], [33.6809027616852, -117.07007950678332], [33.68098499422794, -117.07003584621069], [33.681050413228206, -117.06996174227724], [33.68109297498864, -117.0698665805836]]"
DREWS_6_PL1X4-APND,"['AGUAMNSA_7_B1', 'CENTURY_7_B1', 'CENTURY_7_B3', 'CENTURY_7_B4', 'CENTURY_7_B5', 'DREWSG12_7_B1', 'DREWSG12_7_B3', 'DREWSG34_7_B1', 'DREWSG34_7_B3', 'VSTA_6_N001', 'VSTA_6_N008']","[[34.042605, -117.362707], [34.06069023060133, -117.35319108429329], [34.06050976930267, -117.3531910845252], [34.06050976930267, -117.3534089154748], [34.06069023060133, -117.35340891570672], [34.060990230829425, -117.35309108363238], [34.06080976907458, -117.3530910838643], [34.06080976907458, -117.3533089161357], [34.060990230829425, -117.3533089163676], [34.04125299995202, -117.32083587276313], [34.04134321575355, -117.320727]]"
DRUM_7_PL1X2-APND,"['DRUM38780_7_B1', 'DRUM38780_7_B3']","[[39.2569625304325, -120.76732137470198], [39.25678346945318, -120.76732137499728]]"
DRUM_7_PL3X4-APND,"['DRUM38780_7_B4', 'DRUM38780_7_B7']","[[39.25678346945318, -120.76755262500272], [39.2569625304325, -120.76755262529802]]"
ELECTR_7_PL1X3-APND,"['ELECTRA_7_B1', 'ELECTRA_7_B3', 'ELECTRA_7_B4']","[[38.33103907218759, -120.669901], [38.33095796389112, -120.66984130415862], [38.33095796389112, -120.66996069584138]]"
ELSEGN_2_UN1011-APND,"['UNIT5GT_7_N001', 'UNIT6ST_7_N001']","[[33.91055599998812, -118.42494571263296], [33.91055599998812, -118.42505428736706]]"
GWFPWR_1_UNITS-APND,"['GWFCT1_7_B1', 'GWFCT2_7_B1']","[[36.27007199998717, -119.64799946523928], [36.27007199998717, -119.64811053476072]]"
GYS5X6_7_UNITS-APND,"['GEYSR5-6_7_B2', 'GEYSR5-6_7_B3', 'GEYSR5-6_7_N001']","[[38.7769994286318, -122.74261593587354], [38.777016102481774, -122.74250283715872], [38.77700661372028, -122.74238837921152]]"
GYS7X8_7_UNITS-APND,"['GEYSER78_7_B1', 'GEYSER78_7_B3']","[[38.776891649196784, -122.7427962737468], [38.77695694622476, -122.7427173224392]]"
HAASPH_7_PL1X2-APND,"['HAAS_7_B1', 'HAAS_7_B11']","[[36.94999999998671, -118.99994368080674], [36.94999999998671, -119.00005631919323]]"
HARBGN_7_UNITS-APND,"['HARBORG_7_B2', 'HARBORG_7_B3', 'HARBORG_7_B4', 'HARBORG_7_N101']","[[33.770089981295506, -118.24989175499216], [33.769910018610105, -118.24989175521952], [33.769910018610105, -118.25010824478048], [33.770089981295506, -118.25010824500784]]"
HENRTA_6_ELCBX2-APND,"['GWFGT1_7_B1', 'GWFGT1_7_N003', 'GWFGT2_7_B1', 'HENRITTA_6_N101']","[[36.2397, -119.9044], [36.229465, -119.904466], [36.24160599998715, -119.90288548949992], [36.24160599998715, -119.9029965105001]]"
HIDSRT_2_UNITS-APND,"['HIDEDCT1_7_B1', 'HIDEDCT2_7_B1', 'HIDEDCT3_7_B1', 'HIDEDST1_7_B1', 'HIDESERT_2_N001', 'HIDESERT_2_N018']","[[34.59539043561172, -117.3645901389298], [34.5952095642898, -117.364590139169], [34.5952095642898, -117.364809860831], [34.59539043561172, -117.3648098610702], [34.145263999987954, -116.18586145110676], [34.145263999987954, -116.18597054889322]]"
HUMBPP_6_UNITS-APND,"['HMBLTBY_6_N003', 'HMBUNIT1_7_GN010', 'HMBUNIT2_7_GN010']","[[40.78280899998469, -124.11247771670772], [40.782876999984666, -124.18064228322642], [40.782876999984666, -124.18076171677356]]"
KELSO_2_UNITS-APND,['KELSO_2_N001'],"[[37.797722, -121.601591]]"
KRAMER_1_R2BX2-APND,"['SUNGEN6G_7_N004', 'SUNGEN6G_7_N005', 'SUNGEN7G_7_N003', 'SUNGEN7G_7_N005']","[[35.00636326603033, -117.54265479689252], [35.006182733870084, -117.54265479713573], [35.006182733870084, -117.54287520286428], [35.00636326603033, -117.54287520310749]]"
KRAMER_1_R2PX2-APND,"['SUNGEN6G_7_N004', 'SUNGEN6G_7_N005', 'SUNGEN7G_7_N003', 'SUNGEN7G_7_N005']","[[35.00636326603033, -117.54265479689252], [35.006182733870084, -117.54265479713573], [35.006182733870084, -117.54287520286428], [35.00636326603033, -117.54287520310749]]"
LAROA2_2_UNITA1-APND,"['LAROA2CT_7_B1', 'LAROA2ST_7_B1']","[[32.60096975850368, -115.6615738408348], [32.60096975850368, -115.6616802675852]]"
LEBECS_2_UNITS-APND,"['LEBECCT1_7_B2', 'LEBECCT2_7_B1', 'LEBECCT4_7_B2', 'LEBECST3_7_B1', 'LEBECST5_7_B1']","[[34.9556, -118.844], [34.955599999950266, -118.84388982316705], [34.95550969947784, -118.844], [34.955599999950266, -118.84411017683296], [34.95569030052222, -118.844]]"
LMEC_1_PL1X3-APND,"['LMEC1_1_N001', 'LMEC1_1_N101', 'LMEC1_1_N601', 'LMEC1_1_N801', 'LMECCT1_7_B1', 'LMECCT1_7_N001', 'LMECCT2_7_B1', 'LMECCT2_7_N001', 'LMECST1_7_B1', 'LMECST1_7_N001']","[[38.030625, -121.896783], [38.03062499994427, -121.89666830800388], [38.0305346591732, -121.89666830814532], [38.03047077865233, -121.8967494075628], [38.03045550182725, -121.89686244757443], [38.0304867914731, -121.89697004046928], [38.030552678679065, -121.89704850966314], [38.03063805852326, -121.89708599331652], [38.03072826437463, -121.8970797274369], [38.03081089924409, -121.89703337694176]]"
LODIEC_2_PL1X2-APND,"['LODICTG_7_B1', 'LODISTG_7_B1']","[[38.08805599998605, -121.3874426308166], [38.08805599998605, -121.3875573691834]]"
METEC_2_PL1X3-APND,"['MECCTG1_7_B1', 'MECCTG1_7_N100', 'MECCTG2_7_B2', 'MECCTG2_7_N100', 'MECSTG3_7_B1']","[[37.2400902586168, -121.77988662490463], [37.239909741275135, -121.77988662517618], [37.239909741275135, -121.78011337482384], [37.2400902586168, -121.78011337509535], [37.24, -121.77]]"
MLAP_ANHM-APND,"['CANYONP1_7_GN001', 'CANYONP2_7_GN001', 'CANYONP3_7_GN001']","[[33.858146060756724, -117.86155854781974], [33.85796593914824, -117.86155854804848], [33.85796593914824, -117.86177545195152]]"
MLAP_RVSD-APND,"['RERCU1_7_B1', 'RERCU2_7_B1', 'RERCU3_7_GN001', 'RERCU4_7_GN001', 'RIVRSIDE_6_N001']","[[34.022072120359844, -117.331909], [34.021990939807104, -117.33185245039536], [33.96359999998807, -117.45274565137254], [33.96359999998807, -117.45285434862748], [34.021990939807104, -117.33196554960466]]"
MLAP_VERN-APND,"['LAGUBELL_6_N001', 'LAGUBELL_6_N005', 'LAGUBELL_6_N210', 'VERNON_6_N005', 'VERNON_6_N006']","[[33.975996097823064, -118.14794], [33.97591495107552, -118.14788350459531], [33.97591495107552, -118.14799649540468], [33.998599999988066, -118.221845611492], [33.998599999988066, -118.22195438850798]]"
MONTPH_7_UNITS-APND,"['MONTICLO_7_N001', 'MONTICLO_7_N002', 'MONTICLO_7_N003']","[[38.51310997444027, -122.104444], [38.51302901276462, -122.10438426168294], [38.51302901276462, -122.10450373831704]]"
MRCHNT_2_PL1X3-APND,"['MRCHNT13_7_N001', 'MRCHNT13_7_N002', 'MRCHNT2_7_N001']","[[35.78675377916132, -114.9928], [35.78667311040571, -114.992742586134], [35.78667311040571, -114.992857413866]]"
NAVYII_2_UNITS-APND,"['BLME7G_7_B1', 'BLME8G_7_B1', 'NAVYII4G_7_B1', 'NAVYII5G_7_B1', 'NAVYII6G_7_B1']","[[36.00195372683413, -117.7886], [36.00187313656915, -117.78854248587012], [36.019253724641764, -117.7917], [36.019173137665334, -117.79164247559422], [36.019173137665334, -117.79175752440578]]"
NHOGAN_6_UNITS-APND,"['NHGNDM_7_N001', 'NHGNDM_7_N002']","[[38.14958199998605, -120.8148846088676], [38.14958199998605, -120.8149993911324]]"
OBERON_5_O1BBX2-APND,"['OBERON_7_N122', 'OBERON_7_N132']","[[33.70502512465058, -115.3194969537778], [33.70502512465058, -115.31960504622218]]"
OBERON_5_O2BBX2-APND,"['OBERON_7_N172', 'OBERON_7_N182']","[[33.70510299995288, -115.31965909254237], [33.705180875325816, -115.3196050463202]]"
ONLLPP_6_UNITS-APND,"['ONEILPMP_7_LN001', 'ONEILPMP_7_N001', 'ONEILPMP_7_N002', 'ONEILPMP_7_N003', 'ONEILPMP_7_N004', 'ONEILPMP_7_N005', 'ONEILPMP_7_N006']","[[37.098611, -121.0475], [37.0987490697548, -121.04766148825766], [37.098670999946286, -121.0476049766318], [37.098592930218274, -121.04766148837412], [37.098592930218274, -121.04777451162587], [37.098670999946286, -121.0478310233682], [37.0987490697548, -121.04777451174232]]"
PINFLT_7_UNITS-APND,"['PINEFLT_7_B1', 'PINEFLT_7_B3', 'PINEFLT_7_B4']","[[36.8300539446402, -119.31], [36.82997302766557, -119.3099416337027], [36.82997302766557, -119.3100583662973]]"
PIT3_7_PL1X3-APND,"['PIT3_7_B2', 'PIT3_7_B3', 'PIT3_7_B4', 'PIT3_7_N001']","[[40.9975022488968, -121.748139], [40.997420875534864, -121.74807675210263], [40.997420875534864, -121.74820124789734], [38.03060677878207, -121.8691674075287]]"
PIT4_7_PL1X2-APND,"['PIT4_7_B1', 'PIT4_7_B3']","[[40.98636099998454, -121.84938010999404], [40.98636099998454, -121.84949989000594]]"
PIT5_7_PL1X2-APND,"['PIT5_7_B3', 'PIT5_7_B4']","[[40.98610658206907, -121.9777137796064], [40.98628741780699, -121.97771377993487]]"
PIT5_7_PL3X4-APND,"['PIT5_7_B1', 'PIT5_7_B11', 'PIT5_7_B13', 'PIT5_7_N001']","[[38.030591501969816, -121.86928044765509], [40.98628741780699, -121.97747422006512], [40.98610658206907, -121.9774742203936], [38.03062279158937, -121.86938804065916]]"
PNOCHE_1_PL1X2-APND,['WHDPAN2_7_N102'],"[[36.6535, -120.5783]]"
POD_ALAMIT_2_PL1X3-APND,"['ALAMITOS_2_N001', 'ALAMITOS_2_N040', 'ALAMT1G_7_B1', 'ALAMT1G_7_N002', 'ALAMT2G_7_B1', 'ALAMT2G_7_N002', 'ALAMT3G_7_B1', 'ALAMT3G_7_N002', 'ALAMT4G_7_B1', 'ALAMT4G_7_N002', 'ALAMT5G_7_B1', 'ALAMT5G_7_N002', 'ALAMT6G_7_B1', 'ALAMT6G_7_N002']","[[33.771584, -118.100596], [33.77, -118.1], [33.7715839999528, -118.10048775137712], [33.77149401717401, -118.1004877514908], [33.77143038978412, -118.10056429476926], [33.771415173499584, -118.10067098425148], [33.765977986588545, -118.103663], [33.77144633917227, -118.10077253262284], [33.76589700669301, -118.10360675930583], [33.77151196531008, -118.10084659342048], [33.76589700669301, -118.10371924069416], [33.771597006833865, -118.1008819712055], [33.771686855225234, -118.1008760572907], [33.77176916262267, -118.10083231072662]]"
POD_ALAMIT_7_UNIT 5-APND,"['ALAMITOS_2_N001', 'ALAMITOS_2_N040', 'ALAMT1G_7_B1', 'ALAMT1G_7_N002', 'ALAMT2G_7_B1', 'ALAMT2G_7_N002', 'ALAMT3G_7_B1', 'ALAMT3G_7_N002', 'ALAMT4G_7_B1', 'ALAMT4G_7_N002', 'ALAMT5G_7_B1', 'ALAMT5G_7_N002', 'ALAMT6G_7_B1', 'ALAMT6G_7_N002']","[[33.771584, -118.100596], [33.77, -118.1], [33.7715839999528, -118.10048775137712], [33.77149401717401, -118.1004877514908], [33.77143038978412, -118.10056429476926], [33.771415173499584, -118.10067098425148], [33.765977986588545, -118.103663], [33.77144633917227, -118.10077253262284], [33.76589700669301, -118.10360675930583], [33.77151196531008, -118.10084659342048], [33.76589700669301, -118.10371924069416], [33.771597006833865, -118.1008819712055], [33.771686855225234, -118.1008760572907], [33.77176916262267, -118.10083231072662]]"
POD_BALCHS_7_UNIT 3-APND,"['HAAS_7_B1', 'HAAS_7_B11']","[[36.94999999998671, -118.99994368080674], [36.94999999998671, -119.00005631919323]]"
POD_BDGRCK_1_UNITS-APND,"['KERNPWR_1_N002', 'KERNPWR_1_N201']","[[35.37980096994444, -119.097984], [35.37972001501422, -119.09792667452028]]"
POD_BEARMT_1_UNIT-APND,"['WESTPARK_1_N001', 'WESTPARK_1_N005', 'WESTPARK_1_N009']","[[35.374163973003284, -119.039839], [35.374083013484764, -119.03978167527592], [35.374083013484764, -119.03989632472408]]"
POD_BIOMAS_1_UNIT 1-APND,"['WOODLD_1_N001', 'WOODLD_1_N005', 'WOODLD_1_N012']","[[38.67823188725648, -121.760143], [38.67815105635662, -121.76008322082818], [38.67815105635662, -121.76020277917182]]"
POD_BISHOP_1_ALAMO-APND,['CONTROL_7_N001'],"[[37.34291722503321, -118.47193119226046]]"
POD_BISHOP_1_UNITS-APND,['CONTROL_1_N034'],"[[37.34291722503321, -118.47204480773954]]"
POD_BLAST_1_WIND-APND,"['TOT032G1_7_N001', 'TOT032G2_7_N001', 'TOT032G3_7_N001', 'TOT032G4_7_N001', 'TOT032G5_7_N001', 'TOT032G8_7_N001']","[[33.934167, -116.571388], [33.934166999952346, -116.5712793705161], [33.93407687229218, -116.57127937063106], [33.93401314245606, -116.57135618321828], [33.933997901671624, -116.57146324807424], [33.93418002777364, -116.57167497736444]]"
POD_BORDER_6_UNITA1-APND,"['BDLRKSP2_7_B1', 'BORDER_6_N001', 'BORDER_6_N008']","[[32.56753899998902, -116.94249420647814], [32.56633480869927, -116.944389], [32.566254095638485, -116.94433370647506]]"
POD_BUCKCK_7_PL1X2-APND,['GRIZZLYG_7_B1'],"[[39.71617299994167, -121.520951389564]]"
POD_BUCKWD_1_QF-APND,"['TOT032G1_7_N001', 'TOT032G2_7_N001', 'TOT032G3_7_N001', 'TOT032G4_7_N001', 'TOT032G5_7_N001', 'TOT032G8_7_N001']","[[33.934167, -116.571388], [33.934166999952346, -116.5712793705161], [33.93407687229218, -116.57127937063106], [33.93401314245606, -116.57135618321828], [33.933997901671624, -116.57146324807424], [33.93418002777364, -116.57167497736444]]"
