node_id,lon,lat,2026-05-05 21:00:00,2026-05-05 20:00:00,2026-05-05 19:00:00,2026-05-05 18:00:00,2026-05-05 17:00:00,2026-05-05 16:00:00,2026-05-05 15:00:00,2026-05-05 14:00:00,2026-05-05 13:00:00,2026-05-05 12:00:00,2026-05-05 11:00:00,2026-05-05 10:00:00,2026-05-05 09:00:00,2026-05-05 08:00:00,2026-05-05 07:00:00,2026-05-05 06:00:00,2026-05-05 05:00:00,2026-05-05 04:00:00,2026-05-05 03:00:00,2026-05-05 02:00:00,2026-05-05 00:00:00,2026-05-04 23:00:00,2026-05-04 22:00:00
MAXWELL_6_N002,-122.15349782898538,39.276849999985735,17.76586,17.7514,13.9106,7.03929,4.87438,3.85069,2.30217,5.89229,4.13822,9.1123,10.30184,14.06517,13.73491,14.61419,17.95031,18.70006,17.21979,18.45595,20.90018,21.29811,23.74829,23.29819,23.36289
MCARTHR_6_N001,-121.40878106361409,41.05270199998445,26.60182,26.75953,20.51061,11.33369,5.49861,3.96828,2.82447,5.52169,5.25463,8.42753,13.27841,19.44632,20.22038,22.00062,24.7977,26.41478,25.54957,24.41105,25.23171,25.8362,30.06015,30.83337,31.05708
MCCALL_1_N026,-119.639697,36.61141783540495,27.52848,26.79993,15.809,-2.6537,-3.14225,-5.0897,-4.71472,-4.79434,-3.76453,-1.93167,6.54265,9.16508,9.33142,13.65844,26.72187,28.4026,27.50027,26.29567,27.2948,27.67927,32.23059,33.01354,33.2307
MCCALL_1_N030,-119.63963891745578,36.61133708228342,27.52848,26.79993,15.809,-2.6537,-3.14225,-5.0897,-4.71472,-4.79434,-3.76453,-1.93167,6.54265,9.16508,9.33142,13.65844,26.72187,28.4026,27.50027,26.29567,27.2948,27.67927,32.23059,33.01354,33.2307
MCDISLE_6_N001,-121.52832945017714,37.93693288402067,29.59739,29.51261,21.54686,8.23801,5.93367,3.405,2.70135,5.58665,4.82366,8.24266,13.50462,21.3885,22.57233,23.02928,30.29305,30.81113,29.06464,27.75363,28.74301,29.41442,33.34381,34.35882,34.60675
MCFRLND_6_N001,-119.276835,35.688444,27.84484,27.69345,18.33339,4.32283,2.39039,0.66045,-0.01375,0.36791,1.67123,4.35432,11.19829,16.54891,17.23171,19.13024,26.18606,28.04965,27.03776,26.01821,26.83364,27.51046,32.85637,33.6321,34.03169
MCFRLND_6_N005,-119.2768536,35.688562,27.84484,27.69345,18.33339,4.32283,2.39039,0.66045,-0.01375,0.36791,1.67123,4.35432,11.19829,16.54891,17.23171,19.13024,26.18606,28.04965,27.03776,26.01821,26.83364,27.51046,32.85637,33.6321,34.03169
MCKEE_1_N001,-121.843789,37.36640720404437,29.07386,29.62824,25.01393,18.73896,14.46952,12.94193,10.21838,15.27701,14.15979,18.94115,23.39855,31.58125,33.08288,28.08265,27.4398,29.20732,28.09337,26.88461,27.8072,28.52609,33.21866,34.396,34.98329
MCKEE_1_N005,-121.8437299363796,37.36632589796316,29.07386,29.62824,25.01393,18.73896,14.46952,12.94193,10.21838,15.27701,14.15979,18.94115,23.39855,31.58125,33.08288,28.08265,27.4398,29.20732,28.09337,26.88461,27.8072,28.52609,33.21866,34.396,34.98329
MCKEE_1_N101,-121.8438480636204,37.36632589796316,29.07386,29.62824,25.01393,18.73896,14.46952,12.94193,10.21838,15.27701,14.15979,18.94115,23.39855,31.58125,33.08288,28.08265,27.4398,29.20732,28.09337,26.88461,27.8072,28.52609,33.21866,34.396,34.98329
MCKTTRCK_6_N002,-119.6264732,35.29667268,27.53688,27.40083,18.1511,4.29449,1.68176,-0.11092,-0.63725,0.0403,0.94683,3.59373,10.78103,15.71249,16.39361,19.02716,25.92211,27.8407,26.85004,25.8376,26.66104,27.36379,32.81685,33.5645,33.89134
MCMULLN1_2_N001,-119.98900913200528,36.592774999986986,27.22053,26.30887,14.59481,-5.63627,-6.138,-7.59733,-6.94151,-7.44191,-6.38279,-4.98518,4.04492,5.74022,5.93288,11.68312,26.62948,28.30942,27.35064,26.1962,27.1222,27.59902,31.95064,32.70933,32.86444
